# pathological corpus v0.1.0
# One entry per line. Invisible characters appear as \uXXXX escapes.
# Format: <path>\t<id> [category]
# Generated by scripts/build-corpus.js — do not edit by hand.

# unicode-normalization
café.txt	unicode-normalization-01
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	length-limits-03
éééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééééé.txt	length-limits-04
😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀.txt	length-limits-05
😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀.txt	length-limits-06

# case-collisions
README.txt	case-collisions-01
readme.txt	case-collisions-02
Makefile	case-collisions-03
MAKEFILE	case-collisions-04
İstanbul.txt	case-collisions-05
istanbul.txt	case-collisions-06
K.txt	case-collisions-07
k.txt	case-collisions-08

# locale-casing
ı.txt	locale-casing-01
I-dotted.txt	locale-casing-02
Diyarbakır.txt	locale-casing-03
straße.txt	locale-casing-04

# width-twins
ＡＢＣ.txt	width-twins-01
ｶﾞﾀﾀ.txt	width-twins-02
　.txt	width-twins-03
１２３.log	width-twins-04
ＧＯ.md	width-twins-05
ｱﾚｿ.txt	width-twins-06
＃tag.txt	width-twins-07
＝＝.txt	width-twins-08

# cli-glob-hazards
--flag.txt	cli-glob-hazards-01
-rf	cli-glob-hazards-02
*	cli-glob-hazards-03
?	cli-glob-hazards-04
[a-z]	cli-glob-hazards-05
{a,b}	cli-glob-hazards-06
$HOME.txt	cli-glob-hazards-07
`tick`.txt	cli-glob-hazards-08
a;b.txt	cli-glob-hazards-09
a|b.txt	cli-glob-hazards-10
a>b.txt	cli-glob-hazards-11
a'quote.txt	cli-glob-hazards-12
a"dquote.txt	cli-glob-hazards-13
..dotdot.txt	cli-glob-hazards-14

# whitespace-lookalikes
nb sp.txt	whitespace-lookalikes-01
thin\u2009sp.txt	whitespace-lookalikes-02
en\u2002sp.txt	whitespace-lookalikes-03
em\u2003sp.txt	whitespace-lookalikes-04
hair\u200Asp.txt	whitespace-lookalikes-05
  leading.txt	whitespace-lookalikes-06
trailing.txt  	whitespace-lookalikes-07
   	whitespace-lookalikes-08

# deep-nesting
a/a/a/a/a/a/a/a/a/a/leaf.txt	deep-nesting-01
d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/d/leaf.txt	deep-nesting-02
n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/n/leaf.txt	deep-nesting-03
z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/z/leaf.txt	deep-nesting-04

# legacy-mojibake
cafÃ©.txt	legacy-mojibake-01
Ã±.txt	legacy-mojibake-02
�replaced.txt	legacy-mojibake-03
ŠŸÅ.txt	legacy-mojibake-04

# ntfs-streams
file.txt:stream	ntfs-streams-01
file.txt:$DATA	ntfs-streams-02
file:	ntfs-streams-03
photo.jpg:thumbnail	ntfs-streams-04

# dash-confusables
soft\u00ADhyphen.txt	dash-confusables-01
‐soft.txt	dash-confusables-02
‑nonbreak.txt	dash-confusables-03
‒figure.txt	dash-confusables-04
–en.txt	dash-confusables-05
—em.txt	dash-confusables-06
−minus.txt	dash-confusables-07
-hyphen.txt	dash-confusables-08
